"Alpha","NoiseScale","Iteration","BestLambda","FitCode","LogLik"
1,6,1,0.194076672367821,9,-329.583686600432
1,6,2,0.194076672367821,9,-329.583686600432
1,6,3,0.194076672367821,9,-329.583686600432
1,6,4,0.0753315095147334,8,-319.91818782047
1,6,5,0.194076672367821,9,-329.583686600432
1,6,6,0.194076672367821,9,-329.583686600432
1,6,7,0.194076672367821,9,-329.583686600432
1,6,8,0.194076672367821,9,-329.583686600432
1,6,9,0.194076672367821,9,-329.583686600432
1,6,10,0.0753315095147334,7,-318.776519699737
1,6,11,0.194076672367821,9,-329.583686600432
1,6,12,0.194076672367821,9,-329.583686600432
1,6,13,0.194076672367821,9,-329.583686600432
1,6,14,0.194076672367821,9,-329.583686600432
1,6,15,0.194076672367821,9,-329.583686600432
1,6,16,0.5,9,-329.583686600432
1,6,17,0.194076672367821,9,-329.583686600432
1,6,18,0.194076672367821,9,-329.583686600432
1,6,19,0.0753315095147334,8,-316.704238517731
1,6,20,0.194076672367821,9,-329.583686600432
1,6,21,0.0753315095147334,8,-314.386720420084
1,6,22,0.194076672367821,9,-329.583686600432
1,6,23,0.194076672367821,9,-329.583686600432
1,6,24,0.0753315095147334,8,-315.561872197509
1,6,25,0.194076672367821,9,-329.583686600432
1,6,26,0.0753315095147334,8,-318.749426502283
1,6,27,0.5,9,-329.583686600432
1,6,28,0.194076672367821,9,-329.583686600432
1,6,29,0.194076672367821,9,-329.583686600432
1,6,30,0.194076672367821,9,-329.583686600432
1,6,31,0.5,9,-329.583686600432
1,6,32,0.194076672367821,9,-329.583686600432
1,6,33,0.194076672367821,9,-329.583686600432
1,6,34,0.194076672367821,9,-329.583686600432
1,6,35,0.194076672367821,9,-329.583686600432
1,6,36,0.0753315095147334,8,-320.571095295385
1,6,37,0.194076672367821,9,-329.583686600432
1,6,38,0.194076672367821,9,-329.583686600432
1,6,39,0.194076672367821,9,-329.583686600432
1,6,40,0.194076672367821,9,-329.583686600432
1,6,41,0.194076672367821,9,-329.583686600432
1,6,42,0.5,9,-329.583686600432
1,6,43,0.194076672367821,9,-329.583686600432
1,6,44,0.194076672367821,9,-329.583686600432
1,6,45,0.194076672367821,9,-329.583686600432
1,6,46,0.0753315095147334,8,-319.3033379202
1,6,47,0.5,9,-329.583686600432
1,6,48,0.194076672367821,9,-329.583686600432
1,6,49,0.194076672367821,9,-329.583686600432
1,6,50,0.194076672367821,9,-329.583686600432
1,6,51,0.194076672367821,9,-329.583686600432
1,6,52,0.194076672367821,9,-329.583686600432
1,6,53,0.194076672367821,9,-329.583686600432
1,6,54,0.194076672367821,9,-329.583686600432
1,6,55,0.194076672367821,9,-329.583686600432
1,6,56,0.194076672367821,9,-329.583686600432
1,6,57,0.194076672367821,9,-329.583686600432
1,6,58,0.0753315095147334,9,-320.01516790637
1,6,59,0.194076672367821,9,-329.583686600432
1,6,60,0.0753315095147334,8,-324.98506249825
1,6,61,0.194076672367821,9,-329.583686600432
1,6,62,0.194076672367821,9,-329.583686600432
1,6,63,0.194076672367821,9,-329.583686600432
1,6,64,0.0753315095147334,9,-323.639636185777
1,6,65,0.194076672367821,9,-329.583686600432
1,6,66,0.0753315095147334,7,-314.291045671661
1,6,67,0.194076672367821,9,-329.583686600432
1,6,68,0.194076672367821,9,-329.583686600432
1,6,69,0.194076672367821,9,-329.583686600432
1,6,70,0.194076672367821,9,-329.583686600432
1,6,71,0.194076672367821,9,-329.583686600432
1,6,72,0.194076672367821,9,-329.583686600432
1,6,73,0.194076672367821,9,-329.583686600432
1,6,74,0.194076672367821,9,-329.583686600432
1,6,75,0.194076672367821,9,-329.583686600432
1,6,76,0.5,9,-329.583686600432
1,6,77,0.194076672367821,9,-329.583686600432
1,6,78,0.194076672367821,9,-329.583686600432
1,6,79,0.194076672367821,9,-329.583686600432
1,6,80,0.0753315095147334,9,-321.018700967994
1,6,81,0.194076672367821,9,-329.583686600432
1,6,82,0.194076672367821,9,-329.583686600432
1,6,83,0.0753315095147334,8,-325.719461592745
1,6,84,0.194076672367821,9,-329.583686600432
1,6,85,0.194076672367821,9,-329.583686600432
1,6,86,0.194076672367821,9,-329.583686600432
1,6,87,0.0753315095147334,8,-321.664038513256
1,6,88,0.194076672367821,9,-329.583686600432
1,6,89,0.194076672367821,9,-329.583686600432
1,6,90,0.194076672367821,9,-329.583686600432
1,6,91,0.194076672367821,9,-329.583686600432
1,6,92,0.194076672367821,9,-329.583686600432
1,6,93,0.0753315095147334,8,-314.758615839556
1,6,94,0.194076672367821,9,-329.583686600432
1,6,95,0.0753315095147334,8,-322.049617391261
1,6,96,0.194076672367821,9,-329.583686600432
1,6,97,0.194076672367821,9,-329.583686600432
1,6,98,0.194076672367821,9,-329.583686600432
1,6,99,0.194076672367821,9,-329.583686600432
1,6,100,0.194076672367821,9,-329.583686600432
